"Step","no_attack - train/loss","no_attack - train/loss__MIN","no_attack - train/loss__MAX"
"387","0.1859","0.1859","0.1859"
"388","0.2634","0.2634","0.2634"
"389","0.2092","0.2092","0.2092"
"390","0.4948","0.4948","0.4948"
"391","0.419","0.419","0.419"
"392","0.1918","0.1918","0.1918"
"393","0.2211","0.2211","0.2211"
"394","0.1937","0.1937","0.1937"
"395","0.1785","0.1785","0.1785"
"396","0.1737","0.1737","0.1737"
"397","0.2524","0.2524","0.2524"
"398","0.1588","0.1588","0.1588"
"399","0.1935","0.1935","0.1935"
"400","0.0911","0.0911","0.0911"
"401","0.1688","0.1688","0.1688"
"402","0.1815","0.1815","0.1815"
"403","0.2332","0.2332","0.2332"
"404","0.3561","0.3561","0.3561"
"405","0.0793","0.0793","0.0793"
"406","0.1712","0.1712","0.1712"
"407","0.205","0.205","0.205"
"408","0.396","0.396","0.396"
"409","0.2279","0.2279","0.2279"
"410","0.0329","0.0329","0.0329"
"411","0.1938","0.1938","0.1938"
"412","0.2407","0.2407","0.2407"
"413","0.1545","0.1545","0.1545"
"414","0.276","0.276","0.276"
"415","0.1468","0.1468","0.1468"
"416","0.272","0.272","0.272"
"417","0.273","0.273","0.273"
"418","0.1949","0.1949","0.1949"
"419","0.2071","0.2071","0.2071"
"420","0.2075","0.2075","0.2075"
"421","0.2017","0.2017","0.2017"
"422","0.1667","0.1667","0.1667"
"423","0.1732","0.1732","0.1732"
"424","0.1944","0.1944","0.1944"
"425","0.1249","0.1249","0.1249"
"426","0.2222","0.2222","0.2222"
"427","0.1925","0.1925","0.1925"
"428","0.1414","0.1414","0.1414"
"429","0.1678","0.1678","0.1678"
"430","0.3283","0.3283","0.3283"
"431","0.1881","0.1881","0.1881"
"432","0.1621","0.1621","0.1621"
"433","0.3127","0.3127","0.3127"
"434","0.2166","0.2166","0.2166"
"435","0.2852","0.2852","0.2852"
"436","0.2183","0.2183","0.2183"
"437","0.0705","0.0705","0.0705"
"438","0.0707","0.0707","0.0707"
"439","0.1637","0.1637","0.1637"
"440","0.1754","0.1754","0.1754"
"441","0.1386","0.1386","0.1386"
"442","0.169","0.169","0.169"
"443","0.1109","0.1109","0.1109"
"444","0.3037","0.3037","0.3037"
"445","0.1046","0.1046","0.1046"
"446","0.1874","0.1874","0.1874"
"447","0.2878","0.2878","0.2878"
"448","0.1893","0.1893","0.1893"
"449","0.2489","0.2489","0.2489"
"450","0.3144","0.3144","0.3144"
"451","0.2969","0.2969","0.2969"
"452","0.0863","0.0863","0.0863"
"453","0.2019","0.2019","0.2019"
"454","0.2517","0.2517","0.2517"
"455","0.1756","0.1756","0.1756"
"456","0.1152","0.1152","0.1152"
"457","0.1899","0.1899","0.1899"
"458","0.1399","0.1399","0.1399"
"459","0.1405","0.1405","0.1405"
"460","0.1943","0.1943","0.1943"
"461","0.2682","0.2682","0.2682"
"462","0.1868","0.1868","0.1868"
"463","0.1715","0.1715","0.1715"
"464","0.2655","0.2655","0.2655"
"465","0.2936","0.2936","0.2936"
"466","0.1407","0.1407","0.1407"
"467","0.1116","0.1116","0.1116"
"468","0.4164","0.4164","0.4164"
"469","0.1928","0.1928","0.1928"
"470","0.1828","0.1828","0.1828"
"471","0.1582","0.1582","0.1582"
"472","0.2056","0.2056","0.2056"
"473","0.2377","0.2377","0.2377"
"474","0.2852","0.2852","0.2852"
"475","0.1529","0.1529","0.1529"
"476","0.1469","0.1469","0.1469"
"477","0.2699","0.2699","0.2699"
"478","0.2125","0.2125","0.2125"
"479","0.1785","0.1785","0.1785"
"480","0.1631","0.1631","0.1631"
"481","0.1668","0.1668","0.1668"
"482","0.0915","0.0915","0.0915"
"483","0.2443","0.2443","0.2443"
"484","0.3663","0.3663","0.3663"
"485","0.1383","0.1383","0.1383"
"486","0.1544","0.1544","0.1544"
"487","0.1245","0.1245","0.1245"
"488","0.2354","0.2354","0.2354"
"489","0.1797","0.1797","0.1797"
"490","0.1533","0.1533","0.1533"
"491","0.0953","0.0953","0.0953"
"492","0.2183","0.2183","0.2183"
"493","0.2454","0.2454","0.2454"
"494","0.2037","0.2037","0.2037"
"495","0.1797","0.1797","0.1797"
"496","0.0879","0.0879","0.0879"
"497","0.2506","0.2506","0.2506"
